startup_name,title,url,snippet
about AI,Education Startups funded by Y Combinator (YC) 2025,https://www.ycombinator.com/companies/industry/education,"After we graduated (from MIT & other US colleges), we started our first education company in 2007, focusing on coaching school students in STEM subjects. Marathon Education provides live interactive tutoring classes to K-12 students in Vietnam, we're the fastest-growing edtech player disrupting the "
about AI,13 AI Education Startups Transforming Teaching and Learning,https://www.causeartist.com/ai-education-startups/,[Skip to content](https://www.causeartist.com/ai-education-startups/#main) *   [Industries](https://www.causeartist.com/ai-education-startups/#) [Subscribe](https://www.causeartist.com/ai-education-startups/#/subscribe) [Subscribe](https://www.causeartist.com/ai-education-startups/#/subscribe) *   [
about AI,"Top 158 AI Startups 2025 | Funded by Sequoia, YC, A16Z",https://topstartups.io/?industries=Artificial%20Intelligence,"**What they do:**  Building platform for creating safe, reliable, and transparent AI agents Artificial Intelligence  Enterprise Software  B2B **What they do:**  Improving the experience of healthcare for everyone by leveraging AI to make clinical decisioning frictionless and writing the playbook for"
about AI,U.K. Startup Raises $2M to Build AI Tutoring Platform,https://marketbrief.edweek.org/financing-investment/u-k-startup-raises-2m-to-build-ai-tutoring-platform-k-12-fundraising-platform-secures-10m-in-funding/2025/09,"# U.K. Startup Raises $2M to Build AI Tutoring Platform; K-12 Fundraising Platform Secures $10M in Funding **K-12 fundraising platform raises $10 million.** Boost My School, a fundraising platform designed for private and faith-based K-12 schools, said it raised $10 million in a funding round. Miche"
about AI,Top 7 AI Edtech Startups To Watch In 2025 - Springs,https://springsapps.com/knowledge/top-7-ai-edtech-startups-to-watch-in-2024,Find out about the top edtech startups and how their AI-based products will change the learning field in 2025. Established and newly founded AI edtech startups have found several ways of using this technology in an educational setting: AI helps solutions create learning paths based on the student’s 
"Systems

AI","System AI 2025 Company Profile: Valuation, Funding & Investors",https://pitchbook.com/profiles/company/167264-92,"| Deal Type | Date | Amount | Raised to Date | Post-Val | Status | Stage |
 ---  ---  --- 
| 3. Out of Business | 30-Nov-2022 |  |  |  | Completed | Out of Business |
| 2. Angel (individual) | 08-Jun-2018 |  |  |  | Completed | Startup |
| 1. Accelerator/Incubator | 01-Jun-2015 |  |  |  | Completed "
"Systems

AI",Top 7 AI Edtech Startups To Watch In 2025 - Springs,https://springsapps.com/knowledge/top-7-ai-edtech-startups-to-watch-in-2024,"With this approach, teachers better understand which individuals could use some help with their math comprehension. The company solutions also conduct predictive analysis to show how well students will understand math by the end of the year. Today, schools in the US and Canada actively use Dreambox "
"Systems

AI",Top 10 Rising AI Education Startups to Watch in 2025 - Beetroot,https://beetroot.co/edtech/top-10-rising-ai-education-startups-to-watch-in-2023/,"In 2023, Teachmint was recognized as the EdTech startup of the year in India (K12 Learning category). Now, the company offers full-stack solutions for teaching management, financial operations, classroom and admission management, and 20+ other processes. So far, the startup has raised $118 million i"
"Systems

AI",13 AI Education Startups Transforming Teaching and Learning,https://www.causeartist.com/ai-education-startups/,"Image 22: Turnout Secures $21M to Simplify Access to Government Services with AI

Funding Rounds·Sep 18, 2025 Featured

### Turnout Secures $21M to Simplify Access to Government Services with AI

Turnout has raised $21M to expand its AI-powered platform that helps Americans cut through government bu"
"Systems

AI",Education Startups funded by Y Combinator (YC) 2025,https://www.ycombinator.com/companies/industry/education,Our vision is to transform education by facilitating AI’s safe and effective integration across all institutions and applications. Not using AI to replace teachers but rather to empower them—providing them with all the time and resources they need to develop their students. [...] Scout is an AI-powe
employ AI,List of Funded Education Startups For 2025 - Growth List,https://growthlist.co/education-startups/,"| Name | Website | Industry | Country | Funding Amount (USD) | Funding Type | Last Funding Date |
| Vocal Image | www.vocalimage.app | Artificial Intelligence, Education | Estonia | $3,600,000 | Seed | Sep 2025 |
| Tevo | tevo.app | Artificial Intelligence, Education | Hong Kong | Seed | Sep 2025 |
"
employ AI,AI EdTech startups: key trends and top players in 2024/2025 - DreamX,https://www.dreamxweb.com/blog/ai-edtech-startups-key-trends-and-top-players-in-2024-2025/,"Starting an AI EdTech startup requires substantial funding. Key costs include technology development, data collection, user experience, content and scaling. Luckily, investors see strong potential in this growing market and readily support such ventures. Many startups in this space secure funding th"
employ AI,Education Startups funded by Y Combinator (YC) 2025,https://www.ycombinator.com/companies/industry/education,"Our vision is to transform education by facilitating AI’s safe and effective integration across all institutions and applications. Not using AI to replace teachers but rather to empower them—providing them with all the time and resources they need to develop their students. [...] • 
  Active
   • 
 "
employ AI,13 AI Education Startups Transforming Teaching and Learning,https://www.causeartist.com/ai-education-startups/,"Image 22: Turnout Secures $21M to Simplify Access to Government Services with AI

Funding Rounds·Sep 18, 2025 Featured

### Turnout Secures $21M to Simplify Access to Government Services with AI

Turnout has raised $21M to expand its AI-powered platform that helps Americans cut through government bu"
